query,street_norm,city,zip5,latitude,longitude,source
"3804 Avenue B, Austin, TX, 78751",3804 Avenue B,Austin,78751,30.301949707135,-97.736329890761,prior
"14300 FM 969 Rd, Austin, TX, 78724",14300 FM 969 Rd,Austin,78724,30.248122810865,-97.584840696882,prior
"15800 Awalt Dr, Austin, TX, 78734",15800 Awalt Dr,Austin,78734,30.415634979695,-97.924594345834,prior
"16200 Avery Ranch Blvd, Austin, TX, 78717",16200 Avery Ranch Blvd,Austin,78717,30.503463197755,-97.751965766549,prior
"2025 W Ben White Blvd, Austin, TX, 78704",2025 W Ben White Blvd,Austin,78704,30.229891804537,-97.789190412837,prior
"200 W 6th St, Austin, TX, 78701",200 W 6th St,Austin,78701,30.268488807755,-97.744170858084,prior
"4205 Menchaca Rd, Austin, TX, 78704",4205 Menchaca Rd,Austin,78704,30.231412395315,-97.787262276097,prior
"609 W 6th St, Austin, TX, 78701",609 W 6th St,Austin,78701,30.26961823691,-97.748588597164,prior
"107 W 6th St, Austin, TX, 78701",107 W 6th St,Austin,78701,30.268047393142,-97.742969541531,prior
"1911 E Ben White Blvd, Austin, TX, 78741",1911 E Ben White Blvd,Austin,78741,30.215620395944,-97.747977331032,prior
"214 Barton Springs Rd, Austin, TX, 78704",214 Barton Springs Rd,Austin,78704,30.258980842886,-97.747044605695,prior
"4101 Bee Caves Rd, West Lake Hills, TX, 78746",4101 Bee Caves Rd,West Lake Hills,78746,30.283237350245,-97.810807880332,prior
"11500 Rock Rose Ave, Austin, TX, 78758",11500 Rock Rose Ave,Austin,78758,30.40074647686,-97.722899050554,prior
"1201 Barbara Jordan Blvd Ste 1295 #, Austin, TX, 78723",1201 Barbara Jordan Blvd Ste 1295 #,Austin,78723,30.30669407244,-97.709237661311,prior
"5908 Aurora Dr, Austin, TX, 78757",5908 Aurora Dr,Austin,78757,30.329409143956,-97.728204202375,prior
"11820 E US 290 Highway, Manor, TX, 78653",11820 E US 290 Highway,Manor,78653,30.350864397221,-97.497399559831,prior
"11012 Harris Branch Pkwy, Austin, TX, 78754",11012 Harris Branch Pkwy,Austin,78754,30.344699867712,-97.613653469029,prior
"15101 Avery Ranch Blvd, Austin, TX, 78717",15101 Avery Ranch Blvd,Austin,78717,30.498984558979,-97.773185490807,prior
"114 W 7th St, Austin, TX, 78701",114 W 7th St,Austin,78701,30.269087140863,-97.742681410549,prior
"500 E 4th St, Austin, TX, 78701",500 E 4th St,Austin,78701,30.2649791869,-97.738860060501,prior
"1801 E 51st St, Austin, TX, 78723",1801 E 51st St,Austin,78723,30.303827373992,-97.698907142776,prior
"500 E 4th St PMB 3112, Austin, TX, 78701",500 E 4th St PMB 3112,Austin,78701,30.2649791869,-97.738860060501,prior
"2610 W 10th St, Austin, TX, 78703",2610 W 10th St,Austin,78703,30.284573730424,-97.773226124328,prior
"5604 Cameron Rd, Austin, TX, 78723",5604 Cameron Rd,Austin,78723,30.313799191909,-97.704178722256,prior
"915 E Braker Ln, Austin, TX, 78753",915 E Braker Ln,Austin,78753,30.375799131957,-97.67337599349,prior
"501 Colorado St, Austin, TX, 78701",501 Colorado St,Austin,78701,30.2675181811,-97.744386645636,prior
"9100 Burnet Rd, Austin, TX, 78758",9100 Burnet Rd,Austin,78758,30.375304154237,-97.725956715519,prior
"123 W 6th St, Austin, TX, 78701",123 W 6th St,Austin,78701,30.26809917124,-97.743163377447,prior
"6311 BURLESON RD, Austin, TX, 78744",6311 BURLESON RD,Austin,78744,30.205394986324,-97.716386355332,prior
"300 W 6th St, Austin, TX, 78701",300 W 6th St,Austin,78701,30.268786313772,-97.745245201691,prior
"1420 W Wells Branch Pkwy, Pflugerville, TX, 78660",1420 W Wells Branch Pkwy,Pflugerville,78660,30.440723701708,-97.662932337829,prior
"9717 N Lamar Blvd #, Austin, TX, 78753",9717 N Lamar Blvd #,Austin,78753,30.366596085549,-97.694946665201,prior
"1212 Rio Grande St, Austin, TX, 78701",1212 Rio Grande St,Austin,78701,30.276610204419,-97.747120499156,prior
"9515 N Lamar Blvd, Austin, TX, 78753",9515 N Lamar Blvd,Austin,78753,30.364896159592,-97.695907092733,prior
"11316 Farmhaven Rd, Austin, TX, 78754",11316 Farmhaven Rd,Austin,78754,30.35053815439,-97.6179206438,prior
"214 E 6th St, Austin, TX, 78701",214 E 6th St,Austin,78701,30.267680313429,-97.741235741744,prior
"9809 FM 969 Rd, Austin, TX, 78724",9809 FM 969 Rd,Austin,78724,30.268594257408,-97.626661644453,prior
"3800 N Lamar Blvd, Austin, TX, 78756",3800 N Lamar Blvd,Austin,78756,30.305269278311,-97.74313412907,prior
"707 E Braker Ln, Austin, TX, 78753",707 E Braker Ln,Austin,78753,30.377313011043,-97.677526468509,prior
"835 W 6th St, Austin, TX, 78703",835 W 6th St,Austin,78703,30.270810909446,-97.752282492596,prior
"2205 W Parmer Ln, Austin, TX, 78727",2205 W Parmer Ln,Austin,78727,30.41691965819,-97.698380664625,prior
