facility_id,name,street,city,n,mean_score,min_score,max_score,latest,latest_score,category,venue
12186436,Tru by Hilton,7900 E Ben White Blvd,Austin,4,97,95,99,2026-05-21,97,Restaurant & Food Service,Tru by Hilton
12392430,First Watch The Daytime Cafe,10710 Research SB Blvd Unit 110,Austin,3,97,96,99,2026-01-28,96,Restaurant & Food Service,First Watch The Daytime Cafe
12392626,PF - Kelly Lane Middle School,18900 Falcon Pointe Blvd,Pflugerville,6,97,90,100,2026-03-24,90,School & Childcare,PF - Kelly Lane Middle School
12393157,Little Sunshine's Playhouse and Preschool,7710 N FM 620 Rd,Austin,4,97,94,100,2026-03-02,100,School & Childcare,Little Sunshine's Playhouse and Preschool
12393235,Norman-Sims Elementary,4001 Tannehill Ln,Austin,6,97,95,100,2026-02-20,100,School & Childcare,Norman-Sims Elementary
12394408,Subway,8023 Mesa Dr,Austin,3,97,95,98,2025-07-18,98,Restaurant & Food Service,Subway
12395255,Whataburger #1191,1719 E Parmer Ln,Austin,8,97,89,100,2026-03-02,100,Restaurant & Food Service,Whataburger
12395691,PF - Abacus Children's Academy,2300 Rowe Ln,Pflugerville,4,97,94,100,2026-02-18,94,School & Childcare,PF - Abacus Children's Academy
12395919,7-Eleven Convenience Store # 41166A,17000 Sweetwater Village Dr,Bee Cave,5,97,94,98,2026-05-04,97,Convenience & Fuel,7-Eleven Convenience Store # 41166A
12396274,Barry's Austin,408 W 2nd St,Austin,3,97,96,98,2025-04-30,98,Restaurant & Food Service,Barry's Austin
12396328,Sleep Inn & Suites,14004 Owen Tech Blvd,Austin,4,97,93,100,2026-04-06,93,Restaurant & Food Service,Sleep Inn & Suites
12396728,Menchie's,1000 E 41st St Ste 255,Austin,3,97,96,99,2025-10-20,96,Restaurant & Food Service,Menchie's
12397989,TXB 63,15701 W SH 71,Austin,5,97,93,100,2025-12-12,93,Restaurant & Food Service,TXB
12398629,Chicknic,15511 W SH 71,Bee Cave,4,97,94,99,2026-04-06,97,Restaurant & Food Service,Chicknic
12399087,Uncle Tetsu #31015,6929 Airport Blvd Ste 151,Austin,4,97,92,99,2026-02-06,98,Restaurant & Food Service,Uncle Tetsu
12399112,COTA - SS Pizza Grand Plaza,9201 Circuit of the Americas Blvd,Del Valle,5,97,95,100,2026-03-26,95,Venue & Concessions,COTA - SS Pizza Grand Plaza
12399114,COTA - SS Pizza Turn 1,9201 Circuit of the Americas Blvd,Del Valle,5,97,93,100,2026-03-26,98,Venue & Concessions,COTA - SS Pizza Turn
12399116,COTA - Rojas Main Grand Stands,9201 Circuit of the Americas Blvd,Del Valle,5,97,94,100,2026-03-26,98,Venue & Concessions,COTA - Rojas Main Grand Stands
12399226,MN - Manor ISD Early College High School,14832 N FM 973 Rd,Manor,5,97,93,100,2026-03-27,98,School & Childcare,MN - Manor ISD Early College High School
12400298,Hawaiian Bros 0084 LLC,3400 Comsouth Dr,Austin,4,97,92,100,2026-01-16,98,Restaurant & Food Service,Hawaiian Bros 0084 LLC
12401327,Rositas Tacos and More,5610 N IH 35 Service Rd SB,Austin,4,97,92,99,2026-05-01,99,Restaurant & Food Service,Rositas Tacos and More
12397220,BC - Maple Street Biscuit Company,3944 FM 620 S Ste 130 Bldg G1,Austin,7,96.86,93,100,2025-12-22,100,Restaurant & Food Service,BC - Maple Street Biscuit Company
2800283,Winn Elementary School,3500 Susquehanna Ln,Austin,6,96.83,93,100,2026-04-22,100,School & Childcare,Winn Elementary School
2800285,Westview Middle School,1805 Scofield Ln,Austin,6,96.83,96,99,2026-04-16,96,School & Childcare,Westview Middle School
2800346,Blackshear Elementary,1712 E 11th St,Austin,6,96.83,94,100,2026-03-06,100,School & Childcare,Blackshear Elementary
2800428,Mathews Elementary School,906 W Lynn St,Austin,6,96.83,96,98,2026-04-02,97,School & Childcare,Mathews Elementary School
2801854,Delco Primary,12900 Dessau Rd,Austin,6,96.83,94,100,2026-05-05,97,Restaurant & Food Service,Delco Primary
10002742,WL - Starbucks Coffee #691,3300 Bee Caves Rd Ste 250,West Lake Hills,6,96.83,95,99,2026-05-20,96,Restaurant & Food Service,WL - Starbucks Coffee
12392339,PF - IDEA Public Schools,1901 E Wells Branch Pkwy,Pflugerville,6,96.83,95,99,2026-04-27,99,School & Childcare,PF - IDEA Public Schools
12393073,SONIC DRIVE-IN #5736,1605 E Parmer Ln,Austin,6,96.83,95,98,2026-04-28,97,Restaurant & Food Service,SONIC DRIVE-IN
12395748,PF - Hissho Sushi @ Target #2495,18700 Limestone Commercial Dr Ste 100,Pflugerville,6,96.83,94,99,2026-04-23,98,Grocery,PF - Hissho Sushi @ Target
2801294,Starbuck's Coffee #6328,4400 N Lamar Blvd,Austin,5,96.8,94,100,2025-12-16,97,Restaurant & Food Service,Starbuck's Coffee
10000498,Chick-Fil-A,161 W Slaughter Ln Bldg B,Austin,5,96.8,93,99,2026-04-16,93,Restaurant & Food Service,Chick-Fil-A
10176471,Chipotle Mexican Grill #92,2230 Guadalupe St,Austin,5,96.8,96,98,2025-11-18,96,Restaurant & Food Service,Chipotle Mexican Grill
11053776,Wayside Schools,6215 Menchaca Rd,Austin,5,96.8,96,98,2026-02-03,97,School & Childcare,Wayside Schools
11629151,Cannon + Belle Restaurant,500 E 4th St,Austin,5,96.8,93,100,2026-01-08,93,Restaurant & Food Service,Cannon + Belle Restaurant
11784413,Starbucks #27863,1606 E Parmer Ln,Austin,5,96.8,94,99,2025-11-04,99,Restaurant & Food Service,Starbucks
11853711,Fairmont Austin - Rules & Regs Pool & Bar (Level 7),101 Red River St,Austin,5,96.8,92,100,2025-12-01,98,Restaurant & Food Service,Fairmont Austin - Rules & Regs Pool & Bar (Level 7)
12394754,Centro,2348 Guadalupe St,Austin,5,96.8,93,100,2026-01-05,99,Restaurant & Food Service,Centro
12395417,SV- CAVA Grill Sunset Valley,5601 Brodie Ln Unit 1525,Sunset Valley,5,96.8,93,100,2025-04-24,99,Restaurant & Food Service,SV- CAVA Grill Sunset Valley
12397780,BC - Panera Bread #6315,12901 Hill Country Blvd,Bee Cave,5,96.8,95,100,2025-11-20,100,Restaurant & Food Service,BC - Panera Bread
12398062,McDonald's 11983,6503 S Ih 35,Austin,5,96.8,94,100,2025-12-17,94,Restaurant & Food Service,McDonald's
